,snapped_at,price,market_cap,total_volume,price_pct_change,price_vs_ma7,price_vs_ma14,momentum_7,rsi,macd,signal_line,histogram,signal
1462,2019-08-09 00:00:00+00:00,221.99588620712112,23748361769.302696,8972857706.734287,-0.019457967108844842,-2.210000612522549,3.2459968951890517,5.3654655494051156,52.18485377071221,-6.586782434780844,-10.142054491402071,3.5552720566212273,0.0
1464,2019-08-11 00:00:00+00:00,206.50462546838185,22164896130.494183,7866305403.719613,-0.0173634577765045,-14.479356150761276,-11.569838050866053,-14.911493284172963,49.97727993373643,-7.7162984418793314,-9.170538319776735,1.454239877897404,1.0
1467,2019-08-14 00:00:00+00:00,209.2657371476141,22436740682.994324,7468627796.213287,-0.008750777447488645,-5.294231819963073,-9.177649803813097,-17.75497392813591,49.73074614802617,-7.429433248076208,-8.292124339567476,0.8626910914912678,0.0
1471,2019-08-18 00:00:00+00:00,185.76004109383436,19947175522.901077,7074381392.731569,0.003277272006769083,-11.609362529785784,-23.41665152754726,-20.744584374547486,28.93704356567541,-12.105872299397703,-9.944502526289147,-2.1613697731085555,1.0
1472,2019-08-19 00:00:00+00:00,194.35736761658467,20870523158.477383,7608103574.120334,0.04628189395375659,0.1491372694198958,-12.845697481481153,-22.12821293518752,35.09135102388433,-11.772029497079131,-10.310007920447145,-1.4620215766319866,1.0
1473,2019-08-20 00:00:00+00:00,202.95975075968417,21805354686.68139,7984979710.387964,0.044260648559871996,9.916290484428401,-2.1101762851705814,-8.153390503363084,33.48851500156819,-10.69008756935068,-10.386023850227852,-0.30406371912282815,0.0
1474,2019-08-21 00:00:00+00:00,196.27274728566928,21099092813.884502,7427661565.776037,-0.03294743637093189,5.085428419262769,-6.6008966313225415,-12.992989861944807,33.164318942755855,-10.254024084648876,-10.359623897112058,0.10559981246318273,0.0
1481,2019-08-28 00:00:00+00:00,186.97068487781735,20099329728.45356,6715792817.800851,-0.007466785509735119,-2.311148641950524,-3.263891315269831,-9.302062407851935,36.30511607163718,-9.12078984285921,-9.702572097094528,0.5817822542353177,0.0
1486,2019-09-02 00:00:00+00:00,170.72754514461607,18351207184.536457,5582323205.083545,-0.007818916326437386,-4.793247127192359,-13.379807444986142,-15.594823834810484,32.13514053729298,-11.56881182145122,-10.743042560582653,-0.825769260868567,1.0
1491,2019-09-07 00:00:00+00:00,169.42286694793444,18244685096.24844,7990465595.274032,-0.027388706307575728,-4.53947930675767,-7.752816989221344,0.7519785739746396,26.1201150495595,-9.429157800048813,-10.102105572365158,0.6729477723163448,1.0
1498,2019-09-14 00:00:00+00:00,181.2119450035023,19522068957.29138,6577694623.403602,0.0011110324773921931,1.0967593462599154,4.173179047535001,11.78907805556787,65.35347888351635,-4.519664055323204,-6.709659581378238,2.189995526055034,1.0
1500,2019-09-16 00:00:00+00:00,189.25504633546132,20389680178.128475,6872781110.7933855,0.005041615015067613,6.5364025388117,9.733407987990688,7.7711142831938105,70.98877628943268,-2.508811718260432,-5.349020422067475,2.8402087038070425,1.0
